站点名,经度,纬度,海拔高度,时间,平均气温
﻿林州,113.87,36.06,414.4,2020年01月01日00:00,-0.7
﻿安阳,114.14,36.05,194.8,2020年01月01日00:00,-0.4
﻿沁阳,112.9,35.05,117.5,2020年01月01日00:00,1.6
﻿淇县,114.23,35.61,70.4,2020年01月01日00:00,0.3
﻿济源,112.63,35.09,140.1,2020年01月01日00:00,1.8
﻿博爱,113.08,35.15,120,2020年01月01日00:00,1.7
﻿焦作,113.27,35.24,112,2020年01月01日00:00,2.1
﻿封丘,114.41,35.03,69.6,2020年01月01日00:00,0.9
﻿修武,113.46,35.23,82.7,2020年01月01日00:00,0.8
﻿辉县,113.81,35.49,140.7,2020年01月01日00:00,1.2
﻿新乡,113.91,35.32,73.2,2020年01月01日00:00,1.3
﻿武陟,113.36,35.11,94.5,2020年01月01日00:00,1.3
﻿获嘉,113.72,35.27,77.4,2020年01月01日00:00,1.3
﻿原阳,113.98,35.08,75.9,2020年01月01日00:00,0.7
﻿鹤壁,114.32,35.72,79.7,2020年01月01日00:00,-0.4
﻿汤阴,114.33,35.92,93,2020年01月01日00:00,-0.3
﻿浚县,114.52,35.66,58.2,2020年01月01日00:00,-0.4
﻿内黄,114.91,35.94,51.6,2020年01月01日00:00,-1.2
﻿卫辉,114.1,35.43,68.1,2020年01月01日00:00,0.8
﻿滑县,114.45,35.52,62.1,2020年01月01日00:00,-0.2
﻿延津,114.2,35.17,70.6,2020年01月01日00:00,0.8
﻿长垣,114.65,35.19,61.6,2020年01月01日00:00,1.3
﻿台前,115.86,35.98,42.1,2020年01月01日00:00,-0.4
﻿濮阳,115.03,35.7,53.7,2020年01月01日00:00,-0.3
﻿南乐,115.24,36.06,46.6,2020年01月01日00:00,-1.6
﻿清丰,115.14,35.94,49.3,2020年01月01日00:00,-1.6
﻿范县,115.48,35.85,46,2020年01月01日00:00,-0.6
﻿德钦,98.91,28.49,3319,2020年01月01日00:00,-1.9
﻿朱张,99.73,28.02,3554.2,2020年01月01日00:00,-3.2
﻿绥江,103.95,28.58,496.6,2020年01月01日00:00,10
﻿永善,103.62,28.24,975.6,2020年01月01日00:00,8.3
﻿盐津,104.24,28.11,448.8,2020年01月01日00:00,10.2
﻿贡山,98.67,27.75,1583.3,2020年01月01日00:00,7.6
﻿普达措,99.93,27.9,3622,2020年01月01日00:00,-4
﻿香格里拉,99.75,27.85,3341.5,2020年01月01日00:00,-1.8
﻿维西,99.29,27.18,2326.1,2020年01月01日00:00,4.2
﻿牦牛坪,100.24,27.17,3526,2020年01月01日00:00,-0.3
﻿宁蒗,100.86,27.26,2367.2,2020年01月01日00:00,5.6
﻿大关,103.89,27.75,1176.2,2020年01月01日00:00,6.6
﻿鲁甸,103.56,27.19,1952.2,2020年01月01日00:00,8.9
﻿昭通,103.72,27.35,1949.5,2020年01月01日00:00,8.1
﻿迤那,103.91,27.07,2203,2020年01月01日00:00,6.4
﻿彝良,104.07,27.63,1035,2020年01月01日00:00,8.7
﻿镇雄,104.87,27.41,1645.2,2020年01月01日00:00,5.2
﻿威信,105.05,27.85,1217.7,2020年01月01日00:00,5
﻿赫章,104.69,27.09,1629.6,2020年01月01日00:00,7.3
﻿福贡,98.87,26.9,1189.7,2020年01月01日00:00,9.9
﻿六库,98.85,25.87,949.9,2020年01月01日00:00,13.3
﻿兰坪,99.41,26.44,2344.9,2020年01月01日00:00,4.5
﻿剑川,99.91,26.54,2191.4,2020年01月01日00:00,6
﻿洱源,99.96,26.11,2059.9,2020年01月01日00:00,7.6
﻿丽江,100.22,26.85,2380.9,2020年01月01日00:00,7.2
﻿永胜,100.75,26.68,2130.5,2020年01月01日00:00,7
﻿鹤庆,100.2,26.59,2195.4,2020年01月01日00:00,7.5
﻿华坪,101.27,26.63,1230.8,2020年01月01日00:00,12.2
﻿永仁,101.66,26.04,1589.4,2020年01月01日00:00,12
﻿巧家,102.93,26.92,893.9,2020年01月01日00:00,17.5
﻿会泽,103.25,26.4,2188.3,2020年01月01日00:00,10.1
﻿东川,103.17,26.1,1263.8,2020年01月01日00:00,18.2
﻿威宁,104.28,26.87,2237.5,2020年01月01日00:00,8.5
﻿水城,104.87,26.58,1815.9,2020年01月01日00:00,10
﻿宣威,104.08,26.22,1984.2,2020年01月01日00:00,11.3
﻿腾冲,98.51,24.98,1695.9,2020年01月01日00:00,9.4
﻿云龙,99.37,25.89,1723.9,2020年01月01日00:00,8.7
﻿漾濞,99.95,25.68,1626.1,2020年01月01日00:00,9.9
﻿永平,99.53,25.45,1616.7,2020年01月01日00:00,9.7
﻿保山,99.18,25.12,1652.2,2020年01月01日00:00,11.2
﻿大理,100.18,25.71,1977.7,2020年01月01日00:00,9.6
﻿宾川,100.57,25.83,1438.7,2020年01月01日00:00,12.8
﻿弥渡,100.4,25.39,1711.7,2020年01月01日00:00,11
﻿祥云,100.58,25.49,1992.9,2020年01月01日00:00,10.6
